months_loan_duration,credit_history,purpose,amount,employment_length,personal_status,property,age,job
6,critical,radio/tv,1169,> 7 yrs,single male,real estate,67,skilled employee
48,repaid,radio/tv,5951,1 - 4 yrs,female,real estate,22,skilled employee
12,critical,education,2096,4 - 7 yrs,single male,real estate,49,unskilled resident
42,repaid,furniture,7882,4 - 7 yrs,single male,building society savings,45,skilled employee
24,delayed,car (new),4870,1 - 4 yrs,single male,unknown/none,53,skilled employee
36,repaid,education,9055,1 - 4 yrs,single male,unknown/none,35,unskilled resident
24,repaid,furniture,2835,> 7 yrs,single male,building society savings,53,skilled employee
36,repaid,car (used),6948,1 - 4 yrs,single male,other,35,mangement self-employed
12,repaid,radio/tv,3059,4 - 7 yrs,divorced male,real estate,61,unskilled resident
30,critical,car (new),5234,unemployed,married male,other,28,mangement self-employed
12,repaid,car (new),1295,0 - 1 yrs,female,other,25,skilled employee
48,repaid,business,4308,0 - 1 yrs,female,building society savings,24,skilled employee
12,repaid,radio/tv,1567,1 - 4 yrs,female,other,22,skilled employee
24,critical,car (new),1199,> 7 yrs,single male,other,60,unskilled resident
15,repaid,car (new),1403,1 - 4 yrs,female,other,28,skilled employee
24,repaid,radio/tv,1282,1 - 4 yrs,female,other,32,unskilled resident
24,critical,radio/tv,2424,> 7 yrs,single male,building society savings,53,skilled employee
30,fully repaid,business,8072,0 - 1 yrs,single male,other,25,skilled employee
24,repaid,car (used),12579,> 7 yrs,female,unknown/none,44,mangement self-employed
24,repaid,radio/tv,3430,> 7 yrs,single male,other,31,skilled employee
9,critical,car (new),2134,1 - 4 yrs,single male,other,48,skilled employee
6,repaid,radio/tv,2647,1 - 4 yrs,single male,real estate,44,skilled employee
10,critical,car (new),2241,0 - 1 yrs,single male,real estate,48,unskilled resident
12,critical,car (used),1804,0 - 1 yrs,single male,building society savings,44,skilled employee
10,critical,furniture,2069,1 - 4 yrs,married male,other,26,skilled employee
6,repaid,furniture,1374,1 - 4 yrs,single male,real estate,36,unskilled resident
6,fully repaid,radio/tv,426,> 7 yrs,married male,other,39,unskilled resident
12,fully repaid this bank,radio/tv,409,1 - 4 yrs,female,real estate,42,skilled employee
7,repaid,radio/tv,2415,1 - 4 yrs,single male,real estate,34,skilled employee
60,delayed,business,6836,> 7 yrs,single male,unknown/none,63,skilled employee
18,repaid,business,1913,0 - 1 yrs,married male,real estate,36,skilled employee
24,repaid,furniture,4020,1 - 4 yrs,single male,other,27,skilled employee
18,repaid,car (new),5866,1 - 4 yrs,single male,other,30,skilled employee
12,critical,business,1264,> 7 yrs,single male,unknown/none,57,unskilled resident
12,repaid,furniture,1474,0 - 1 yrs,female,building society savings,33,mangement self-employed
45,critical,radio/tv,4746,0 - 1 yrs,single male,building society savings,25,unskilled resident
48,critical,education,6110,1 - 4 yrs,single male,unknown/none,31,skilled employee
18,repaid,radio/tv,2100,1 - 4 yrs,single male,real estate,37,skilled employee
10,repaid,domestic appliances,1225,1 - 4 yrs,single male,other,37,skilled employee
9,repaid,radio/tv,458,1 - 4 yrs,single male,real estate,24,skilled employee
30,repaid,radio/tv,2333,> 7 yrs,single male,other,30,mangement self-employed
12,repaid,radio/tv,1158,1 - 4 yrs,divorced male,other,26,skilled employee
18,delayed,repairs,6204,1 - 4 yrs,single male,real estate,44,unskilled resident
30,critical,car (used),6187,4 - 7 yrs,married male,other,24,skilled employee
48,critical,car (used),6143,> 7 yrs,female,unknown/none,58,unskilled resident
11,critical,car (new),1393,0 - 1 yrs,female,other,35,mangement self-employed
36,repaid,radio/tv,2299,> 7 yrs,single male,other,39,skilled employee
6,repaid,car (used),1352,unemployed,female,building society savings,23,unemployed non-resident
11,critical,car (new),7228,1 - 4 yrs,single male,building society savings,39,unskilled resident
12,repaid,radio/tv,2073,1 - 4 yrs,female,real estate,28,skilled employee
24,delayed,furniture,2333,0 - 1 yrs,single male,building society savings,29,unskilled resident
27,delayed,car (used),5965,> 7 yrs,single male,other,30,mangement self-employed
12,repaid,radio/tv,1262,1 - 4 yrs,single male,other,25,skilled employee
18,repaid,car (used),3378,1 - 4 yrs,single male,building society savings,31,skilled employee
36,delayed,car (new),2225,> 7 yrs,single male,unknown/none,57,skilled employee
6,fully repaid this bank,car (new),783,1 - 4 yrs,single male,real estate,26,unskilled resident
12,repaid,radio/tv,6468,unemployed,single male,unknown/none,52,mangement self-employed
36,critical,radio/tv,9566,1 - 4 yrs,female,other,31,skilled employee
18,repaid,car (new),1961,> 7 yrs,female,other,23,mangement self-employed
36,critical,furniture,6229,0 - 1 yrs,female,unknown/none,23,unskilled resident
9,repaid,business,1391,1 - 4 yrs,married male,real estate,27,skilled employee
15,critical,radio/tv,1537,> 7 yrs,single male,real estate,50,skilled employee
36,fully repaid,business,1953,> 7 yrs,single male,unknown/none,61,mangement self-employed
48,fully repaid,business,14421,1 - 4 yrs,single male,other,25,skilled employee
24,repaid,radio/tv,3181,0 - 1 yrs,female,building society savings,26,skilled employee
27,repaid,repairs,5190,> 7 yrs,single male,building society savings,48,skilled employee
12,repaid,radio/tv,2171,0 - 1 yrs,female,other,29,skilled employee
12,repaid,car (new),1007,1 - 4 yrs,married male,real estate,22,skilled employee
36,repaid,education,1819,1 - 4 yrs,single male,unknown/none,37,skilled employee
36,repaid,radio/tv,2394,1 - 4 yrs,female,other,25,skilled employee
36,repaid,car (used),8133,1 - 4 yrs,female,building society savings,30,skilled employee
7,critical,radio/tv,730,> 7 yrs,single male,building society savings,46,unskilled resident
8,critical,others,1164,> 7 yrs,single male,unknown/none,51,mangement self-employed
42,critical,business,5954,4 - 7 yrs,female,real estate,41,unskilled resident
36,repaid,education,1977,> 7 yrs,single male,unknown/none,40,mangement self-employed
12,critical,car (used),1526,> 7 yrs,single male,unknown/none,66,mangement self-employed
42,repaid,radio/tv,3965,0 - 1 yrs,single male,other,34,skilled employee
11,delayed,radio/tv,4771,4 - 7 yrs,single male,building society savings,51,skilled employee
54,fully repaid,car (used),9436,1 - 4 yrs,single male,building society savings,39,unskilled resident
30,repaid,furniture,3832,0 - 1 yrs,married male,building society savings,22,skilled employee
24,repaid,radio/tv,5943,0 - 1 yrs,female,other,44,skilled employee
15,repaid,radio/tv,1213,> 7 yrs,single male,building society savings,47,skilled employee
18,repaid,business,1568,1 - 4 yrs,female,building society savings,24,unskilled resident
24,repaid,others,1755,> 7 yrs,female,real estate,58,unskilled resident
10,repaid,radio/tv,2315,> 7 yrs,single male,real estate,52,unskilled resident
12,critical,business,1412,1 - 4 yrs,female,real estate,29,mangement self-employed
18,critical,furniture,1295,0 - 1 yrs,female,building society savings,27,skilled employee
36,repaid,education,12612,1 - 4 yrs,single male,unknown/none,47,skilled employee
18,repaid,car (new),2249,4 - 7 yrs,single male,other,30,mangement self-employed
12,fully repaid,repairs,1108,4 - 7 yrs,single male,real estate,28,skilled employee
12,critical,radio/tv,618,> 7 yrs,single male,real estate,56,skilled employee
12,critical,car (used),1409,> 7 yrs,single male,real estate,54,skilled employee
12,critical,radio/tv,797,> 7 yrs,female,building society savings,33,unskilled resident
24,critical,furniture,3617,> 7 yrs,single male,unknown/none,20,skilled employee
12,repaid,car (new),1318,> 7 yrs,single male,real estate,54,skilled employee
54,fully repaid,business,15945,0 - 1 yrs,single male,unknown/none,58,skilled employee
12,critical,education,2012,4 - 7 yrs,female,other,61,skilled employee
18,repaid,business,2622,1 - 4 yrs,single male,other,34,skilled employee
36,critical,radio/tv,2337,> 7 yrs,single male,real estate,36,skilled employee
20,delayed,car (used),7057,4 - 7 yrs,single male,building society savings,36,mangement self-employed
24,repaid,car (new),1469,> 7 yrs,married male,real estate,41,unskilled resident
36,repaid,radio/tv,2323,4 - 7 yrs,single male,other,24,skilled employee
6,delayed,radio/tv,932,1 - 4 yrs,female,real estate,24,skilled employee
9,critical,furniture,1919,4 - 7 yrs,single male,other,35,skilled employee
12,repaid,car (used),2445,0 - 1 yrs,married male,other,26,skilled employee
24,critical,others,11938,1 - 4 yrs,single male,other,39,mangement self-employed
18,fully repaid this bank,car (new),6458,> 7 yrs,single male,unknown/none,39,mangement self-employed
12,repaid,car (new),6078,4 - 7 yrs,single male,other,32,skilled employee
24,repaid,furniture,7721,0 - 1 yrs,female,building society savings,30,skilled employee
14,repaid,business,1410,> 7 yrs,married male,real estate,35,skilled employee
6,delayed,business,1449,> 7 yrs,divorced male,other,31,skilled employee
15,repaid,education,392,0 - 1 yrs,female,building society savings,23,skilled employee
18,repaid,car (new),6260,4 - 7 yrs,single male,real estate,28,unskilled resident
36,critical,car (new),7855,1 - 4 yrs,female,real estate,25,skilled employee
12,repaid,radio/tv,1680,> 7 yrs,married male,real estate,35,skilled employee
48,critical,radio/tv,3578,> 7 yrs,single male,real estate,47,skilled employee
42,repaid,radio/tv,7174,4 - 7 yrs,female,other,30,mangement self-employed
10,critical,furniture,2132,0 - 1 yrs,female,real estate,27,skilled employee
33,critical,furniture,4281,1 - 4 yrs,female,other,23,skilled employee
12,critical,car (new),2366,4 - 7 yrs,divorced male,other,36,mangement self-employed
21,repaid,radio/tv,1835,1 - 4 yrs,female,real estate,25,skilled employee
24,critical,car (used),3868,> 7 yrs,female,other,41,mangement self-employed
12,repaid,furniture,1768,1 - 4 yrs,single male,real estate,24,unskilled resident
10,critical,car (new),781,> 7 yrs,single male,unknown/none,63,skilled employee
18,repaid,furniture,1924,0 - 1 yrs,female,real estate,27,skilled employee
12,critical,car (new),2121,1 - 4 yrs,single male,building society savings,30,skilled employee
12,repaid,radio/tv,701,1 - 4 yrs,married male,real estate,40,unskilled resident
12,repaid,repairs,639,1 - 4 yrs,single male,other,30,skilled employee
12,critical,car (used),1860,unemployed,single male,other,34,mangement self-employed
12,critical,car (new),3499,1 - 4 yrs,female,real estate,29,skilled employee
48,repaid,car (new),8487,4 - 7 yrs,female,other,24,skilled employee
36,delayed,education,6887,1 - 4 yrs,single male,building society savings,29,skilled employee
15,repaid,furniture,2708,0 - 1 yrs,single male,building society savings,27,unskilled resident
18,repaid,furniture,1984,1 - 4 yrs,single male,unknown/none,47,skilled employee
60,repaid,radio/tv,10144,4 - 7 yrs,female,real estate,21,skilled employee
12,critical,radio/tv,1240,> 7 yrs,female,real estate,38,skilled employee
27,delayed,car (used),8613,1 - 4 yrs,single male,other,27,skilled employee
12,repaid,radio/tv,766,1 - 4 yrs,single male,real estate,66,unskilled resident
15,critical,radio/tv,2728,4 - 7 yrs,single male,real estate,35,skilled employee
12,repaid,radio/tv,1881,1 - 4 yrs,female,other,44,unskilled resident
6,repaid,car (new),709,0 - 1 yrs,married male,real estate,27,unemployed non-resident
36,repaid,radio/tv,4795,0 - 1 yrs,female,unknown/none,30,mangement self-employed
27,repaid,radio/tv,3416,1 - 4 yrs,single male,other,27,mangement self-employed
18,repaid,furniture,2462,1 - 4 yrs,single male,other,22,skilled employee
21,critical,furniture,2288,0 - 1 yrs,female,building society savings,23,skilled employee
48,fully repaid this bank,business,3566,4 - 7 yrs,single male,other,30,skilled employee
6,critical,car (new),860,> 7 yrs,female,unknown/none,39,skilled employee
12,critical,car (new),682,4 - 7 yrs,female,other,51,skilled employee
36,critical,furniture,5371,1 - 4 yrs,single male,building society savings,28,skilled employee
18,critical,radio/tv,1582,> 7 yrs,single male,other,46,skilled employee
6,repaid,radio/tv,1346,> 7 yrs,single male,unknown/none,42,skilled employee
10,repaid,radio/tv,1924,1 - 4 yrs,single male,building society savings,38,skilled employee
36,repaid,radio/tv,5848,1 - 4 yrs,single male,other,24,skilled employee
24,critical,car (used),7758,> 7 yrs,female,unknown/none,29,skilled employee
24,delayed,business,6967,4 - 7 yrs,single male,other,36,mangement self-employed
12,repaid,furniture,1282,1 - 4 yrs,female,other,20,skilled employee
9,critical,repairs,1288,> 7 yrs,single male,real estate,48,skilled employee
12,fully repaid this bank,retraining,339,> 7 yrs,married male,other,45,unskilled resident
24,repaid,car (new),3512,4 - 7 yrs,single male,other,38,skilled employee
6,critical,radio/tv,1898,1 - 4 yrs,single male,real estate,34,unskilled resident
24,critical,radio/tv,2872,> 7 yrs,single male,real estate,36,skilled employee
18,critical,car (new),1055,0 - 1 yrs,female,building society savings,30,skilled employee
15,repaid,domestic appliances,1262,4 - 7 yrs,single male,building society savings,36,skilled employee
10,repaid,car (new),7308,unemployed,single male,unknown/none,70,mangement self-employed
36,repaid,car (new),909,> 7 yrs,single male,building society savings,36,skilled employee
6,repaid,furniture,2978,1 - 4 yrs,single male,other,32,skilled employee
18,repaid,furniture,1131,unemployed,female,other,33,skilled employee
11,repaid,furniture,1577,0 - 1 yrs,female,real estate,20,skilled employee
24,repaid,furniture,3972,4 - 7 yrs,female,building society savings,25,skilled employee
24,critical,business,1935,> 7 yrs,divorced male,real estate,31,skilled employee
15,fully repaid,car (new),950,> 7 yrs,single male,other,33,skilled employee
12,repaid,furniture,763,1 - 4 yrs,female,real estate,26,skilled employee
24,delayed,furniture,2064,unemployed,female,building society savings,34,mangement self-employed
8,repaid,radio/tv,1414,1 - 4 yrs,single male,real estate,33,skilled employee
21,delayed,education,3414,0 - 1 yrs,single male,building society savings,26,skilled employee
30,fully repaid this bank,car (used),7485,unemployed,female,real estate,53,mangement self-employed
12,repaid,furniture,2577,1 - 4 yrs,divorced male,other,42,skilled employee
6,critical,radio/tv,338,> 7 yrs,single male,other,52,skilled employee
12,repaid,radio/tv,1963,4 - 7 yrs,single male,other,31,mangement self-employed
21,critical,car (new),571,> 7 yrs,single male,real estate,65,skilled employee
36,delayed,business,9572,0 - 1 yrs,divorced male,other,28,skilled employee
36,delayed,business,4455,1 - 4 yrs,divorced male,real estate,30,mangement self-employed
21,fully repaid this bank,car (new),1647,1 - 4 yrs,single male,building society savings,40,unskilled resident
24,critical,furniture,3777,1 - 4 yrs,single male,real estate,50,skilled employee
18,critical,car (new),884,> 7 yrs,single male,other,36,skilled employee
15,critical,radio/tv,1360,1 - 4 yrs,single male,building society savings,31,skilled employee
9,fully repaid this bank,car (used),5129,> 7 yrs,female,unknown/none,74,mangement self-employed
16,critical,car (new),1175,unemployed,single male,other,68,unemployed non-resident
12,repaid,radio/tv,674,4 - 7 yrs,married male,building society savings,20,skilled employee
18,fully repaid,furniture,3244,1 - 4 yrs,female,other,33,skilled employee
24,repaid,business,4591,1 - 4 yrs,single male,building society savings,54,mangement self-employed
48,fully repaid,business,3844,4 - 7 yrs,single male,unknown/none,34,unskilled resident
27,repaid,business,3915,1 - 4 yrs,single male,other,36,skilled employee
6,repaid,radio/tv,2108,4 - 7 yrs,married male,real estate,29,skilled employee
45,repaid,radio/tv,3031,1 - 4 yrs,single male,building society savings,21,skilled employee
9,critical,education,1501,> 7 yrs,female,other,34,mangement self-employed
6,critical,radio/tv,1382,1 - 4 yrs,female,other,28,skilled employee
12,repaid,furniture,951,0 - 1 yrs,female,other,27,skilled employee
24,repaid,car (used),2760,> 7 yrs,single male,unknown/none,36,skilled employee
18,delayed,furniture,4297,> 7 yrs,divorced male,unknown/none,40,mangement self-employed
9,critical,education,936,> 7 yrs,single male,other,52,skilled employee
12,repaid,car (new),1168,1 - 4 yrs,married male,real estate,27,unskilled resident
27,delayed,business,5117,4 - 7 yrs,single male,other,26,skilled employee
12,repaid,retraining,902,4 - 7 yrs,married male,building society savings,21,skilled employee
12,critical,car (new),1495,> 7 yrs,single male,real estate,38,unskilled resident
30,critical,car (used),10623,> 7 yrs,single male,unknown/none,38,mangement self-employed
12,critical,furniture,1935,> 7 yrs,single male,real estate,43,skilled employee
12,critical,domestic appliances,1424,4 - 7 yrs,single male,building society savings,26,skilled employee
24,repaid,business,6568,1 - 4 yrs,married male,other,21,unskilled resident
12,repaid,car (used),1413,4 - 7 yrs,single male,building society savings,55,skilled employee
9,critical,radio/tv,3074,1 - 4 yrs,single male,real estate,33,skilled employee
36,repaid,radio/tv,3835,> 7 yrs,female,real estate,45,unskilled resident
27,fully repaid,business,5293,unemployed,single male,building society savings,50,skilled employee
30,delayed,business,1908,> 7 yrs,single male,real estate,66,mangement self-employed
36,critical,radio/tv,3342,> 7 yrs,single male,other,51,skilled employee
6,critical,retraining,932,4 - 7 yrs,female,building society savings,39,unskilled resident
18,fully repaid,business,3104,4 - 7 yrs,single male,building society savings,31,skilled employee
36,repaid,radio/tv,3913,1 - 4 yrs,single male,real estate,23,skilled employee
24,repaid,furniture,3021,1 - 4 yrs,divorced male,real estate,24,unskilled resident
10,repaid,car (new),1364,1 - 4 yrs,female,other,64,skilled employee
12,repaid,radio/tv,625,0 - 1 yrs,married male,real estate,26,unskilled resident
12,repaid,education,1200,1 - 4 yrs,female,building society savings,23,skilled employee
12,repaid,radio/tv,707,1 - 4 yrs,single male,real estate,30,skilled employee
24,delayed,business,2978,1 - 4 yrs,single male,real estate,32,skilled employee
15,repaid,car (used),4657,1 - 4 yrs,single male,other,30,skilled employee
36,fully repaid,repairs,2613,1 - 4 yrs,single male,other,27,skilled employee
48,repaid,radio/tv,10961,4 - 7 yrs,single male,unknown/none,27,skilled employee
12,repaid,furniture,7865,> 7 yrs,single male,unknown/none,53,mangement self-employed
9,repaid,radio/tv,1478,4 - 7 yrs,single male,other,22,skilled employee
24,repaid,furniture,3149,0 - 1 yrs,single male,unknown/none,22,skilled employee
36,repaid,radio/tv,4210,1 - 4 yrs,single male,other,26,skilled employee
9,repaid,car (new),2507,> 7 yrs,single male,unknown/none,51,unskilled resident
12,repaid,radio/tv,2141,4 - 7 yrs,single male,unknown/none,35,skilled employee
18,repaid,radio/tv,866,1 - 4 yrs,married male,real estate,25,unskilled resident
4,critical,radio/tv,1544,4 - 7 yrs,single male,real estate,42,unskilled resident
24,repaid,radio/tv,1823,unemployed,single male,other,30,mangement self-employed
6,repaid,car (new),14555,unemployed,single male,building society savings,23,unemployed non-resident
21,repaid,business,2767,> 7 yrs,divorced male,other,61,unskilled resident
12,critical,radio/tv,1291,1 - 4 yrs,female,building society savings,35,skilled employee
30,repaid,radio/tv,2522,> 7 yrs,single male,building society savings,39,skilled employee
24,repaid,car (new),915,> 7 yrs,female,other,29,skilled employee
6,repaid,radio/tv,1595,4 - 7 yrs,single male,building society savings,51,skilled employee
48,fully repaid,car (used),4605,> 7 yrs,single male,unknown/none,24,skilled employee
12,critical,business,1185,1 - 4 yrs,female,real estate,27,skilled employee
12,fully repaid this bank,retraining,3447,1 - 4 yrs,female,real estate,35,unskilled resident
24,repaid,business,1258,4 - 7 yrs,single male,real estate,25,skilled employee
12,critical,radio/tv,717,> 7 yrs,single male,real estate,52,skilled employee
6,fully repaid,car (new),1204,1 - 4 yrs,single male,unknown/none,35,skilled employee
24,repaid,furniture,1925,1 - 4 yrs,single male,real estate,26,skilled employee
18,repaid,radio/tv,433,unemployed,female,real estate,22,skilled employee
6,critical,car (new),666,4 - 7 yrs,female,real estate,39,unskilled resident
12,repaid,furniture,2251,1 - 4 yrs,female,other,46,unskilled resident
30,repaid,car (new),2150,1 - 4 yrs,female,unknown/none,24,skilled employee
24,delayed,furniture,4151,1 - 4 yrs,single male,building society savings,35,skilled employee
9,repaid,furniture,2030,4 - 7 yrs,single male,other,24,skilled employee
60,delayed,radio/tv,7418,1 - 4 yrs,single male,real estate,27,unskilled resident
24,critical,radio/tv,2684,1 - 4 yrs,single male,real estate,35,unskilled resident
12,fully repaid this bank,radio/tv,2149,1 - 4 yrs,divorced male,unknown/none,29,skilled employee
15,repaid,car (used),3812,0 - 1 yrs,female,other,23,skilled employee
11,critical,radio/tv,1154,unemployed,female,real estate,57,unskilled resident
12,repaid,furniture,1657,1 - 4 yrs,single male,real estate,27,skilled employee
24,repaid,radio/tv,1603,> 7 yrs,female,other,55,skilled employee
18,critical,car (new),5302,> 7 yrs,single male,unknown/none,36,mangement self-employed
12,critical,education,2748,> 7 yrs,female,unknown/none,57,unskilled resident
10,critical,car (new),1231,> 7 yrs,single male,real estate,32,unskilled resident
15,repaid,radio/tv,802,> 7 yrs,single male,other,37,skilled employee
36,critical,business,6304,> 7 yrs,single male,real estate,36,skilled employee
24,repaid,radio/tv,1533,0 - 1 yrs,female,other,38,skilled employee
14,repaid,car (new),8978,> 7 yrs,divorced male,building society savings,45,mangement self-employed
24,repaid,radio/tv,999,> 7 yrs,single male,other,25,skilled employee
18,repaid,car (new),2662,4 - 7 yrs,single male,building society savings,32,skilled employee
12,critical,furniture,1402,4 - 7 yrs,female,other,37,skilled employee
48,fully repaid this bank,car (new),12169,unemployed,single male,unknown/none,36,mangement self-employed
48,repaid,radio/tv,3060,4 - 7 yrs,single male,real estate,28,skilled employee
30,repaid,repairs,11998,0 - 1 yrs,divorced male,unknown/none,34,unskilled resident
9,repaid,radio/tv,2697,1 - 4 yrs,single male,real estate,32,skilled employee
18,critical,radio/tv,2404,1 - 4 yrs,female,other,26,skilled employee
12,repaid,furniture,1262,> 7 yrs,divorced male,building society savings,49,unskilled resident
6,repaid,furniture,4611,0 - 1 yrs,female,building society savings,32,skilled employee
24,repaid,radio/tv,1901,1 - 4 yrs,single male,other,29,mangement self-employed
15,critical,car (used),3368,> 7 yrs,single male,unknown/none,23,skilled employee
12,repaid,furniture,1574,1 - 4 yrs,single male,real estate,50,skilled employee
18,fully repaid this bank,radio/tv,1445,4 - 7 yrs,single male,other,49,unskilled resident
15,critical,furniture,1520,> 7 yrs,single male,building society savings,63,skilled employee
24,critical,car (new),3878,0 - 1 yrs,divorced male,other,37,skilled employee
47,repaid,car (new),10722,0 - 1 yrs,female,real estate,35,unskilled resident
48,repaid,car (used),4788,4 - 7 yrs,single male,building society savings,26,skilled employee
48,delayed,others,7582,unemployed,single male,unknown/none,31,mangement self-employed
12,repaid,radio/tv,1092,1 - 4 yrs,female,real estate,49,skilled employee
24,delayed,radio/tv,1024,0 - 1 yrs,married male,real estate,48,skilled employee
12,repaid,business,1076,1 - 4 yrs,married male,real estate,26,skilled employee
36,repaid,car (used),9398,0 - 1 yrs,married male,other,28,mangement self-employed
24,critical,car (used),6419,> 7 yrs,female,unknown/none,44,mangement self-employed
42,critical,car (used),4796,> 7 yrs,single male,unknown/none,56,skilled employee
48,critical,business,7629,> 7 yrs,divorced male,other,46,mangement self-employed
48,repaid,furniture,9960,0 - 1 yrs,female,other,26,skilled employee
12,repaid,car (used),4675,0 - 1 yrs,female,other,20,skilled employee
10,repaid,car (new),1287,> 7 yrs,single male,building society savings,45,unskilled resident
18,repaid,furniture,2515,1 - 4 yrs,single male,real estate,43,skilled employee
21,critical,furniture,2745,4 - 7 yrs,single male,other,32,skilled employee
6,repaid,car (new),672,unemployed,female,real estate,54,unemployed non-resident
36,fully repaid,radio/tv,3804,1 - 4 yrs,female,other,42,skilled employee
24,critical,car (new),1344,4 - 7 yrs,single male,real estate,37,unskilled resident
10,critical,car (new),1038,4 - 7 yrs,single male,building society savings,49,skilled employee
48,critical,car (new),10127,1 - 4 yrs,single male,unknown/none,44,skilled employee
6,repaid,furniture,1543,1 - 4 yrs,divorced male,real estate,33,skilled employee
30,repaid,car (used),4811,4 - 7 yrs,female,building society savings,24,unskilled resident
12,repaid,radio/tv,727,0 - 1 yrs,married male,unknown/none,33,unskilled resident
8,repaid,furniture,1237,1 - 4 yrs,female,real estate,24,skilled employee
9,repaid,car (new),276,1 - 4 yrs,married male,real estate,22,unskilled resident
48,repaid,others,5381,unemployed,single male,unknown/none,40,unemployed non-resident
24,repaid,furniture,5511,1 - 4 yrs,single male,other,25,skilled employee
24,repaid,furniture,3749,0 - 1 yrs,female,other,26,skilled employee
12,repaid,car (new),685,4 - 7 yrs,married male,other,25,unskilled resident
4,repaid,car (new),1494,0 - 1 yrs,single male,real estate,29,unskilled resident
36,fully repaid this bank,furniture,2746,> 7 yrs,single male,other,31,skilled employee
12,repaid,furniture,708,1 - 4 yrs,single male,building society savings,38,unskilled resident
24,repaid,furniture,4351,1 - 4 yrs,female,building society savings,48,unskilled resident
12,critical,education,701,1 - 4 yrs,single male,other,32,skilled employee
15,delayed,furniture,3643,> 7 yrs,female,building society savings,27,unskilled resident
30,critical,car (new),4249,unemployed,married male,other,28,mangement self-employed
24,repaid,radio/tv,1938,0 - 1 yrs,divorced male,building society savings,32,skilled employee
24,repaid,car (used),2910,4 - 7 yrs,single male,unknown/none,34,mangement self-employed
18,repaid,furniture,2659,1 - 4 yrs,single male,other,28,skilled employee
18,critical,car (new),1028,1 - 4 yrs,female,real estate,36,skilled employee
8,critical,car (new),3398,4 - 7 yrs,single male,real estate,39,unskilled resident
12,critical,furniture,5801,> 7 yrs,single male,building society savings,49,skilled employee
24,repaid,car (new),1525,4 - 7 yrs,female,other,34,skilled employee
36,repaid,radio/tv,4473,> 7 yrs,single male,other,31,skilled employee
6,repaid,radio/tv,1068,> 7 yrs,single male,other,28,skilled employee
24,critical,car (used),6615,unemployed,single male,unknown/none,75,mangement self-employed
18,critical,education,1864,1 - 4 yrs,female,real estate,30,skilled employee
60,repaid,car (new),7408,0 - 1 yrs,female,building society savings,24,mangement self-employed
48,critical,car (used),11590,1 - 4 yrs,female,other,24,unskilled resident
