months_loan_duration,credit_history,purpose,amount,employment_length,personal_status,property,age,job
24,fully repaid,furniture,4110,> 7 yrs,single male,unknown/none,23,skilled employee
6,critical,furniture,3384,1 - 4 yrs,divorced male,real estate,44,mangement self-employed
13,repaid,radio/tv,2101,0 - 1 yrs,female,building society savings,23,unskilled resident
15,repaid,domestic appliances,1275,1 - 4 yrs,female,other,24,skilled employee
24,repaid,furniture,4169,1 - 4 yrs,single male,building society savings,28,skilled employee
10,repaid,furniture,1521,1 - 4 yrs,divorced male,other,31,unskilled resident
24,critical,education,5743,0 - 1 yrs,female,unknown/none,24,skilled employee
21,repaid,furniture,3599,4 - 7 yrs,female,other,26,unskilled resident
18,repaid,radio/tv,3213,0 - 1 yrs,married male,real estate,25,skilled employee
18,repaid,business,4439,> 7 yrs,single male,real estate,33,mangement self-employed
10,repaid,car (new),3949,0 - 1 yrs,single male,building society savings,37,unskilled resident
15,critical,radio/tv,1459,1 - 4 yrs,female,other,43,unskilled resident
13,critical,radio/tv,882,0 - 1 yrs,single male,real estate,23,skilled employee
24,repaid,radio/tv,3758,unemployed,female,unknown/none,23,unemployed non-resident
6,delayed,business,1743,1 - 4 yrs,single male,real estate,34,unskilled resident
9,critical,education,1136,> 7 yrs,single male,unknown/none,32,skilled employee
9,repaid,domestic appliances,1236,0 - 1 yrs,female,real estate,23,skilled employee
9,repaid,furniture,959,1 - 4 yrs,female,other,29,skilled employee
18,critical,car (used),3229,unemployed,single male,unknown/none,38,mangement self-employed
12,fully repaid,radio/tv,6199,1 - 4 yrs,single male,building society savings,28,skilled employee
10,repaid,education,727,> 7 yrs,single male,unknown/none,46,skilled employee
24,repaid,car (new),1246,0 - 1 yrs,single male,real estate,23,unskilled resident
12,critical,radio/tv,2331,> 7 yrs,single male,real estate,49,skilled employee
36,delayed,radio/tv,4463,1 - 4 yrs,single male,other,26,mangement self-employed
12,repaid,radio/tv,776,1 - 4 yrs,married male,real estate,28,skilled employee
30,repaid,furniture,2406,4 - 7 yrs,female,real estate,23,skilled employee
18,repaid,education,1239,1 - 4 yrs,single male,unknown/none,61,skilled employee
12,repaid,radio/tv,3399,> 7 yrs,single male,other,37,mangement self-employed
12,delayed,car (new),2247,1 - 4 yrs,female,other,36,skilled employee
6,repaid,furniture,1766,1 - 4 yrs,married male,building society savings,21,skilled employee
18,repaid,furniture,2473,unemployed,single male,other,25,unemployed non-resident
12,repaid,business,1542,4 - 7 yrs,single male,other,36,skilled employee
18,critical,car (used),3850,4 - 7 yrs,single male,other,27,skilled employee
18,repaid,furniture,3650,0 - 1 yrs,female,other,22,skilled employee
36,repaid,furniture,3446,> 7 yrs,single male,other,42,skilled employee
18,repaid,furniture,3001,4 - 7 yrs,female,real estate,40,skilled employee
36,repaid,car (new),3079,1 - 4 yrs,single male,real estate,36,skilled employee
18,critical,radio/tv,6070,> 7 yrs,single male,other,33,skilled employee
10,critical,furniture,2146,0 - 1 yrs,female,real estate,23,skilled employee
60,critical,car (new),13756,> 7 yrs,single male,unknown/none,63,mangement self-employed
60,fully repaid this bank,others,14782,> 7 yrs,female,unknown/none,60,mangement self-employed
48,fully repaid this bank,business,7685,4 - 7 yrs,female,other,37,skilled employee
18,delayed,radio/tv,2320,unemployed,married male,real estate,34,skilled employee
7,delayed,radio/tv,846,> 7 yrs,single male,unknown/none,36,skilled employee
36,repaid,car (new),14318,> 7 yrs,single male,unknown/none,57,mangement self-employed
6,critical,car (new),362,1 - 4 yrs,female,other,52,unskilled resident
20,repaid,furniture,2212,4 - 7 yrs,single male,other,39,skilled employee
18,repaid,car (used),12976,unemployed,female,unknown/none,38,mangement self-employed
22,repaid,car (new),1283,4 - 7 yrs,female,building society savings,25,skilled employee
12,repaid,car (new),1330,0 - 1 yrs,single male,real estate,26,skilled employee
30,delayed,business,4272,1 - 4 yrs,single male,building society savings,26,unskilled resident
18,critical,radio/tv,2238,1 - 4 yrs,female,other,25,skilled employee
18,repaid,radio/tv,1126,0 - 1 yrs,female,real estate,21,skilled employee
18,critical,furniture,7374,unemployed,single male,building society savings,40,mangement self-employed
15,critical,business,2326,1 - 4 yrs,single male,other,27,skilled employee
9,repaid,business,1449,4 - 7 yrs,female,other,27,skilled employee
18,repaid,car (new),1820,1 - 4 yrs,married male,building society savings,30,mangement self-employed
12,repaid,furniture,983,0 - 1 yrs,female,real estate,19,unskilled resident
36,repaid,car (new),3249,4 - 7 yrs,single male,unknown/none,39,mangement self-employed
6,critical,radio/tv,1957,4 - 7 yrs,female,other,31,skilled employee
9,critical,furniture,2406,unemployed,single male,other,31,mangement self-employed
39,delayed,education,11760,4 - 7 yrs,single male,unknown/none,32,skilled employee
12,repaid,furniture,2578,unemployed,female,unknown/none,55,mangement self-employed
36,critical,furniture,2348,1 - 4 yrs,married male,building society savings,46,skilled employee
12,repaid,car (new),1223,> 7 yrs,divorced male,real estate,46,skilled employee
24,critical,radio/tv,1516,1 - 4 yrs,female,real estate,43,unskilled resident
18,repaid,radio/tv,1473,0 - 1 yrs,married male,real estate,39,skilled employee
18,critical,business,1887,1 - 4 yrs,married male,real estate,28,skilled employee
24,delayed,business,8648,0 - 1 yrs,single male,other,27,skilled employee
14,delayed,car (new),802,1 - 4 yrs,single male,other,27,unskilled resident
18,delayed,car (new),2899,> 7 yrs,single male,other,43,skilled employee
24,repaid,radio/tv,2039,0 - 1 yrs,married male,building society savings,22,skilled employee
24,critical,car (used),2197,4 - 7 yrs,single male,other,43,skilled employee
15,repaid,radio/tv,1053,0 - 1 yrs,married male,real estate,27,skilled employee
24,repaid,radio/tv,3235,> 7 yrs,divorced male,other,26,mangement self-employed
12,critical,car (new),939,4 - 7 yrs,married male,real estate,28,skilled employee
24,repaid,radio/tv,1967,> 7 yrs,female,other,20,skilled employee
33,critical,car (used),7253,4 - 7 yrs,single male,other,35,mangement self-employed
12,critical,business,2292,unemployed,single male,other,42,mangement self-employed
10,repaid,car (new),1597,1 - 4 yrs,single male,unknown/none,40,unskilled resident
24,repaid,car (new),1381,1 - 4 yrs,female,building society savings,35,skilled employee
36,critical,car (used),5842,> 7 yrs,single male,building society savings,35,skilled employee
12,repaid,car (new),2579,0 - 1 yrs,single male,real estate,33,unskilled resident
18,delayed,education,8471,1 - 4 yrs,female,other,23,skilled employee
21,repaid,car (new),2782,4 - 7 yrs,female,other,31,mangement self-employed
18,repaid,car (new),1042,1 - 4 yrs,female,building society savings,33,skilled employee
15,repaid,car (new),3186,4 - 7 yrs,female,other,20,skilled employee
12,repaid,car (used),2028,1 - 4 yrs,single male,other,30,skilled employee
12,critical,car (new),958,4 - 7 yrs,single male,real estate,47,unskilled resident
21,delayed,furniture,1591,4 - 7 yrs,single male,real estate,34,mangement self-employed
12,repaid,furniture,2762,> 7 yrs,female,building society savings,25,skilled employee
18,repaid,car (used),2779,1 - 4 yrs,married male,other,21,skilled employee
28,critical,radio/tv,2743,> 7 yrs,single male,other,29,skilled employee
18,critical,radio/tv,1149,1 - 4 yrs,single male,real estate,46,skilled employee
9,repaid,furniture,1313,> 7 yrs,single male,other,20,skilled employee
18,critical,repairs,1190,unemployed,female,unknown/none,55,unemployed non-resident
5,repaid,business,3448,4 - 7 yrs,single male,real estate,74,unskilled resident
24,repaid,others,11328,1 - 4 yrs,single male,other,29,mangement self-employed
6,critical,furniture,1872,unemployed,single male,unknown/none,36,mangement self-employed
24,critical,repairs,2058,1 - 4 yrs,divorced male,real estate,33,skilled employee
9,repaid,furniture,2136,1 - 4 yrs,single male,real estate,25,skilled employee
12,repaid,radio/tv,1484,1 - 4 yrs,married male,real estate,25,skilled employee
6,repaid,repairs,660,4 - 7 yrs,married male,real estate,23,unskilled resident
24,critical,car (new),1287,> 7 yrs,female,real estate,37,skilled employee
42,critical,repairs,3394,unemployed,single male,other,65,unemployed non-resident
12,fully repaid this bank,business,609,0 - 1 yrs,female,real estate,26,unemployed non-resident
12,repaid,car (new),1884,> 7 yrs,single male,other,39,mangement self-employed
12,repaid,furniture,1620,1 - 4 yrs,female,building society savings,30,skilled employee
20,delayed,others,2629,1 - 4 yrs,single male,other,29,skilled employee
12,repaid,education,719,> 7 yrs,single male,other,41,unskilled resident
48,critical,furniture,5096,1 - 4 yrs,female,other,30,mangement self-employed
9,critical,education,1244,> 7 yrs,female,building society savings,41,unskilled resident
36,repaid,car (new),1842,0 - 1 yrs,female,other,34,skilled employee
7,repaid,radio/tv,2576,1 - 4 yrs,single male,real estate,35,skilled employee
12,repaid,furniture,1424,> 7 yrs,female,real estate,55,mangement self-employed
15,delayed,repairs,1512,1 - 4 yrs,married male,building society savings,61,skilled employee
36,critical,car (used),11054,1 - 4 yrs,single male,other,30,mangement self-employed
6,repaid,radio/tv,518,1 - 4 yrs,female,real estate,29,skilled employee
12,fully repaid,furniture,2759,> 7 yrs,single male,building society savings,34,skilled employee
24,repaid,car (used),2670,> 7 yrs,single male,other,35,mangement self-employed
24,repaid,car (new),4817,4 - 7 yrs,single male,building society savings,31,skilled employee
24,repaid,car (used),2679,0 - 1 yrs,female,unknown/none,29,mangement self-employed
11,critical,car (new),3905,1 - 4 yrs,single male,real estate,36,skilled employee
12,repaid,car (used),3386,> 7 yrs,single male,unknown/none,35,skilled employee
6,repaid,domestic appliances,343,0 - 1 yrs,female,real estate,27,skilled employee
18,repaid,radio/tv,4594,0 - 1 yrs,single male,other,32,skilled employee
36,repaid,furniture,3620,1 - 4 yrs,single male,building society savings,37,skilled employee
15,repaid,car (new),1721,0 - 1 yrs,single male,real estate,36,skilled employee
12,repaid,furniture,3017,0 - 1 yrs,female,real estate,34,mangement self-employed
12,repaid,retraining,754,> 7 yrs,single male,building society savings,38,skilled employee
18,repaid,business,1950,4 - 7 yrs,single male,other,34,skilled employee
24,repaid,car (used),2924,1 - 4 yrs,single male,unknown/none,63,skilled employee
24,delayed,radio/tv,1659,0 - 1 yrs,female,other,29,unskilled resident
48,delayed,radio/tv,7238,> 7 yrs,single male,other,32,skilled employee
33,delayed,business,2764,1 - 4 yrs,female,other,26,skilled employee
24,delayed,car (used),4679,4 - 7 yrs,single male,other,35,unskilled resident
24,repaid,radio/tv,3092,0 - 1 yrs,married male,other,22,skilled employee
6,repaid,education,448,0 - 1 yrs,female,building society savings,23,skilled employee
9,repaid,car (new),654,1 - 4 yrs,single male,other,28,unskilled resident
6,repaid,retraining,1238,unemployed,single male,building society savings,36,mangement self-employed
18,critical,radio/tv,1245,1 - 4 yrs,married male,other,33,skilled employee
18,fully repaid,furniture,3114,0 - 1 yrs,female,building society savings,26,skilled employee
39,repaid,car (used),2569,1 - 4 yrs,single male,other,24,skilled employee
24,repaid,radio/tv,5152,4 - 7 yrs,single male,other,25,skilled employee
12,repaid,business,1037,4 - 7 yrs,single male,real estate,39,unskilled resident
15,critical,furniture,1478,> 7 yrs,single male,other,44,skilled employee
12,critical,radio/tv,3573,1 - 4 yrs,female,real estate,23,unskilled resident
24,repaid,car (new),1201,0 - 1 yrs,single male,building society savings,26,skilled employee
30,repaid,furniture,3622,> 7 yrs,female,building society savings,57,skilled employee
15,delayed,furniture,960,4 - 7 yrs,female,building society savings,30,skilled employee
12,critical,car (new),1163,1 - 4 yrs,single male,real estate,44,skilled employee
6,delayed,car (new),1209,unemployed,single male,building society savings,47,mangement self-employed
12,repaid,radio/tv,3077,1 - 4 yrs,single male,other,52,skilled employee
24,repaid,car (new),3757,> 7 yrs,female,unknown/none,62,skilled employee
10,repaid,car (new),1418,1 - 4 yrs,single male,real estate,35,unskilled resident
6,repaid,car (new),3518,1 - 4 yrs,single male,building society savings,26,skilled employee
12,critical,radio/tv,1934,> 7 yrs,single male,unknown/none,26,skilled employee
27,fully repaid,business,8318,> 7 yrs,female,unknown/none,42,mangement self-employed
6,critical,radio/tv,1237,1 - 4 yrs,female,building society savings,27,skilled employee
6,repaid,radio/tv,368,> 7 yrs,single male,building society savings,38,skilled employee
12,critical,car (new),2122,1 - 4 yrs,single male,real estate,39,unskilled resident
24,repaid,furniture,2996,1 - 4 yrs,married male,other,20,skilled employee
36,repaid,furniture,9034,0 - 1 yrs,single male,unknown/none,29,mangement self-employed
24,critical,furniture,1585,4 - 7 yrs,single male,building society savings,40,skilled employee
18,repaid,radio/tv,1301,> 7 yrs,married male,real estate,32,unskilled resident
6,critical,car (new),1323,> 7 yrs,divorced male,other,28,skilled employee
24,repaid,car (new),3123,0 - 1 yrs,female,building society savings,27,skilled employee
36,repaid,car (used),5493,> 7 yrs,single male,unknown/none,42,skilled employee
9,repaid,radio/tv,1126,> 7 yrs,divorced male,real estate,49,skilled employee
24,critical,radio/tv,1216,0 - 1 yrs,single male,unknown/none,38,skilled employee
24,repaid,car (new),1207,0 - 1 yrs,female,building society savings,24,skilled employee
10,repaid,car (new),1309,1 - 4 yrs,single male,building society savings,27,unskilled resident
15,critical,car (used),2360,1 - 4 yrs,single male,other,36,skilled employee
15,fully repaid this bank,car (new),6850,unemployed,single male,building society savings,34,mangement self-employed
24,repaid,radio/tv,1413,1 - 4 yrs,married male,building society savings,28,skilled employee
39,repaid,car (used),8588,> 7 yrs,single male,other,45,mangement self-employed
12,repaid,car (new),759,4 - 7 yrs,single male,real estate,26,skilled employee
36,repaid,car (used),4686,1 - 4 yrs,single male,unknown/none,32,mangement self-employed
15,repaid,business,2687,4 - 7 yrs,single male,building society savings,26,skilled employee
12,delayed,radio/tv,585,1 - 4 yrs,married male,real estate,20,skilled employee
24,repaid,car (new),2255,0 - 1 yrs,single male,building society savings,54,skilled employee
6,critical,car (new),609,4 - 7 yrs,female,building society savings,37,skilled employee
6,critical,car (new),1361,0 - 1 yrs,single male,real estate,40,unskilled resident
36,critical,furniture,7127,0 - 1 yrs,female,building society savings,23,skilled employee
6,repaid,car (new),1203,> 7 yrs,single male,building society savings,43,skilled employee
6,critical,radio/tv,700,> 7 yrs,single male,unknown/none,36,skilled employee
24,critical,repairs,5507,> 7 yrs,single male,unknown/none,44,skilled employee
18,repaid,radio/tv,3190,1 - 4 yrs,female,real estate,24,skilled employee
48,fully repaid,furniture,7119,1 - 4 yrs,single male,unknown/none,53,skilled employee
24,repaid,car (used),3488,4 - 7 yrs,female,other,23,skilled employee
18,repaid,radio/tv,1113,1 - 4 yrs,female,real estate,26,unskilled resident
26,repaid,car (used),7966,0 - 1 yrs,single male,other,30,skilled employee
15,critical,education,1532,1 - 4 yrs,female,other,31,skilled employee
4,critical,radio/tv,1503,4 - 7 yrs,single male,real estate,42,unskilled resident
36,repaid,radio/tv,2302,1 - 4 yrs,divorced male,other,31,skilled employee
6,repaid,car (new),662,0 - 1 yrs,single male,real estate,41,unskilled resident
36,repaid,education,2273,4 - 7 yrs,single male,other,32,skilled employee
15,repaid,car (new),2631,1 - 4 yrs,female,other,28,skilled employee
12,delayed,car (used),1503,1 - 4 yrs,married male,real estate,41,skilled employee
24,repaid,radio/tv,1311,4 - 7 yrs,married male,building society savings,26,skilled employee
24,repaid,radio/tv,3105,0 - 1 yrs,single male,other,25,skilled employee
21,critical,education,2319,0 - 1 yrs,divorced male,other,33,skilled employee
6,repaid,car (new),1374,unemployed,female,building society savings,75,mangement self-employed
18,critical,furniture,3612,> 7 yrs,female,building society savings,37,skilled employee
48,repaid,car (new),7763,> 7 yrs,single male,unknown/none,42,mangement self-employed
18,repaid,furniture,3049,0 - 1 yrs,female,building society savings,45,unskilled resident
12,repaid,radio/tv,1534,0 - 1 yrs,married male,real estate,23,skilled employee
24,delayed,car (new),2032,> 7 yrs,single male,unknown/none,60,skilled employee
30,repaid,furniture,6350,> 7 yrs,single male,building society savings,31,skilled employee
18,repaid,furniture,2864,1 - 4 yrs,single male,real estate,34,unskilled resident
12,critical,car (new),1255,> 7 yrs,single male,real estate,61,unskilled resident
24,delayed,car (new),1333,unemployed,single male,real estate,43,skilled employee
24,critical,car (new),2022,1 - 4 yrs,female,other,37,skilled employee
24,repaid,radio/tv,1552,4 - 7 yrs,single male,other,32,skilled employee
12,fully repaid this bank,radio/tv,626,1 - 4 yrs,female,real estate,24,unskilled resident
48,critical,car (used),8858,4 - 7 yrs,single male,unknown/none,35,skilled employee
12,critical,repairs,996,4 - 7 yrs,female,real estate,23,skilled employee
6,fully repaid this bank,radio/tv,1750,> 7 yrs,single male,building society savings,45,unskilled resident
48,repaid,radio/tv,6999,4 - 7 yrs,married male,real estate,34,skilled employee
12,critical,car (new),1995,0 - 1 yrs,single male,other,27,skilled employee
9,repaid,education,1199,4 - 7 yrs,female,building society savings,67,mangement self-employed
12,repaid,radio/tv,1331,0 - 1 yrs,single male,other,22,skilled employee
18,fully repaid,car (new),2278,0 - 1 yrs,female,other,28,skilled employee
21,fully repaid,car (new),5003,1 - 4 yrs,female,building society savings,29,skilled employee
24,fully repaid this bank,furniture,3552,4 - 7 yrs,single male,other,27,skilled employee
18,critical,furniture,1928,0 - 1 yrs,single male,real estate,31,unskilled resident
24,repaid,car (used),2964,> 7 yrs,single male,unknown/none,49,skilled employee
24,fully repaid this bank,radio/tv,1546,4 - 7 yrs,single male,other,24,unskilled resident
6,delayed,radio/tv,683,0 - 1 yrs,female,building society savings,29,skilled employee
36,repaid,car (new),12389,1 - 4 yrs,single male,unknown/none,37,skilled employee
24,delayed,business,4712,1 - 4 yrs,single male,building society savings,37,mangement self-employed
24,delayed,radio/tv,1553,4 - 7 yrs,female,building society savings,23,skilled employee
12,repaid,car (new),1372,4 - 7 yrs,divorced male,other,36,skilled employee
24,critical,radio/tv,2578,> 7 yrs,single male,other,34,skilled employee
48,repaid,radio/tv,3979,4 - 7 yrs,single male,other,41,skilled employee
48,repaid,radio/tv,6758,1 - 4 yrs,female,other,31,skilled employee
24,repaid,furniture,3234,0 - 1 yrs,female,real estate,23,unskilled resident
30,critical,radio/tv,5954,4 - 7 yrs,single male,other,38,skilled employee
24,repaid,car (used),5433,unemployed,female,building society savings,26,mangement self-employed
15,repaid,business,806,1 - 4 yrs,female,building society savings,22,unskilled resident
9,repaid,radio/tv,1082,> 7 yrs,single male,other,27,unskilled resident
15,critical,furniture,2788,4 - 7 yrs,female,other,24,skilled employee
12,repaid,radio/tv,2930,4 - 7 yrs,female,real estate,27,skilled employee
24,critical,education,1927,1 - 4 yrs,female,other,33,skilled employee
36,critical,car (new),2820,0 - 1 yrs,divorced male,other,27,skilled employee
24,repaid,retraining,937,0 - 1 yrs,married male,other,27,unskilled resident
18,critical,car (new),1056,> 7 yrs,single male,real estate,30,skilled employee
12,critical,car (new),3124,0 - 1 yrs,single male,real estate,49,unskilled resident
9,repaid,furniture,1388,1 - 4 yrs,female,real estate,26,skilled employee
36,repaid,repairs,2384,0 - 1 yrs,single male,unknown/none,33,unskilled resident
12,repaid,car (new),2133,> 7 yrs,female,unknown/none,52,mangement self-employed
18,repaid,furniture,2039,1 - 4 yrs,female,real estate,20,skilled employee
9,critical,car (new),2799,1 - 4 yrs,single male,real estate,36,skilled employee
12,repaid,furniture,1289,1 - 4 yrs,single male,building society savings,21,unskilled resident
18,repaid,domestic appliances,1217,1 - 4 yrs,married male,real estate,47,unskilled resident
12,critical,furniture,2246,> 7 yrs,single male,building society savings,60,skilled employee
12,critical,radio/tv,385,4 - 7 yrs,female,real estate,58,unskilled resident
24,delayed,car (new),1965,1 - 4 yrs,female,other,42,skilled employee
21,repaid,business,1572,> 7 yrs,female,real estate,36,unskilled resident
24,repaid,car (new),2718,1 - 4 yrs,female,building society savings,20,unskilled resident
24,fully repaid this bank,others,1358,> 7 yrs,single male,other,40,mangement self-employed
6,fully repaid this bank,car (new),931,0 - 1 yrs,female,building society savings,32,unskilled resident
24,repaid,car (new),1442,4 - 7 yrs,female,other,23,skilled employee
24,fully repaid,business,4241,1 - 4 yrs,single male,real estate,36,unskilled resident
18,critical,car (new),2775,4 - 7 yrs,single male,building society savings,31,skilled employee
24,delayed,business,3863,1 - 4 yrs,single male,unknown/none,32,skilled employee
7,repaid,radio/tv,2329,0 - 1 yrs,female,real estate,45,skilled employee
9,repaid,furniture,918,1 - 4 yrs,female,building society savings,30,skilled employee
24,fully repaid this bank,education,1837,4 - 7 yrs,female,unknown/none,34,unskilled resident
36,repaid,furniture,3349,1 - 4 yrs,female,other,28,mangement self-employed
10,repaid,furniture,1275,0 - 1 yrs,female,building society savings,23,skilled employee
24,fully repaid this bank,furniture,2828,1 - 4 yrs,single male,real estate,22,skilled employee
24,critical,business,4526,1 - 4 yrs,single male,real estate,74,mangement self-employed
36,repaid,radio/tv,2671,1 - 4 yrs,female,unknown/none,50,skilled employee
18,repaid,radio/tv,2051,0 - 1 yrs,single male,real estate,33,skilled employee
15,repaid,car (used),1300,> 7 yrs,single male,unknown/none,45,skilled employee
12,repaid,domestic appliances,741,unemployed,female,building society savings,22,skilled employee
10,repaid,car (new),1240,> 7 yrs,female,unknown/none,48,unskilled resident
21,repaid,radio/tv,3357,0 - 1 yrs,female,other,29,skilled employee
24,fully repaid this bank,car (used),3632,1 - 4 yrs,female,other,22,skilled employee
18,delayed,furniture,1808,4 - 7 yrs,female,real estate,22,skilled employee
48,fully repaid,business,12204,1 - 4 yrs,single male,other,48,mangement self-employed
60,delayed,radio/tv,9157,1 - 4 yrs,single male,unknown/none,27,mangement self-employed
6,critical,car (new),3676,1 - 4 yrs,single male,real estate,37,skilled employee
30,repaid,furniture,3441,1 - 4 yrs,female,other,21,skilled employee
12,repaid,car (new),640,1 - 4 yrs,divorced male,real estate,49,unskilled resident
21,critical,business,3652,4 - 7 yrs,single male,building society savings,27,skilled employee
18,critical,car (new),1530,1 - 4 yrs,single male,building society savings,32,skilled employee
48,repaid,business,3914,1 - 4 yrs,divorced male,real estate,38,skilled employee
12,repaid,furniture,1858,0 - 1 yrs,female,other,22,skilled employee
18,repaid,radio/tv,2600,1 - 4 yrs,single male,unknown/none,65,skilled employee
15,repaid,radio/tv,1979,> 7 yrs,single male,other,35,skilled employee
6,repaid,furniture,2116,1 - 4 yrs,single male,real estate,41,skilled employee
9,fully repaid this bank,car (new),1437,4 - 7 yrs,single male,unknown/none,29,skilled employee
42,critical,furniture,4042,1 - 4 yrs,single male,real estate,36,skilled employee
9,repaid,education,3832,> 7 yrs,single male,real estate,64,unskilled resident
24,repaid,radio/tv,3660,1 - 4 yrs,female,other,28,skilled employee
18,fully repaid this bank,furniture,1553,1 - 4 yrs,single male,other,44,skilled employee
15,repaid,radio/tv,1444,0 - 1 yrs,single male,building society savings,23,skilled employee
9,repaid,furniture,1980,0 - 1 yrs,female,other,19,skilled employee
24,repaid,car (new),1355,0 - 1 yrs,female,other,25,unskilled resident
12,repaid,education,1393,> 7 yrs,single male,building society savings,47,skilled employee
24,repaid,radio/tv,1376,4 - 7 yrs,female,other,28,skilled employee
60,delayed,radio/tv,15653,4 - 7 yrs,single male,other,21,skilled employee
12,repaid,radio/tv,1493,0 - 1 yrs,female,other,34,skilled employee
42,delayed,radio/tv,4370,4 - 7 yrs,single male,building society savings,26,skilled employee
18,repaid,education,750,unemployed,female,real estate,27,unemployed non-resident
15,repaid,repairs,1308,> 7 yrs,single male,other,38,unskilled resident
15,repaid,education,4623,1 - 4 yrs,single male,building society savings,40,mangement self-employed
24,critical,radio/tv,1851,4 - 7 yrs,married male,other,33,skilled employee
18,critical,radio/tv,1880,4 - 7 yrs,married male,building society savings,32,mangement self-employed
36,delayed,business,7980,0 - 1 yrs,single male,other,27,skilled employee
30,fully repaid,furniture,4583,1 - 4 yrs,divorced male,real estate,32,skilled employee
12,repaid,car (new),1386,1 - 4 yrs,female,building society savings,26,skilled employee
24,repaid,car (new),947,4 - 7 yrs,single male,unknown/none,38,skilled employee
12,repaid,education,684,1 - 4 yrs,single male,other,40,unskilled resident
48,repaid,education,7476,4 - 7 yrs,single male,unknown/none,50,mangement self-employed
12,repaid,furniture,1922,1 - 4 yrs,single male,building society savings,37,unskilled resident
24,repaid,car (new),2303,> 7 yrs,single male,real estate,45,skilled employee
36,delayed,car (new),8086,> 7 yrs,single male,other,42,mangement self-employed
24,critical,car (used),2346,4 - 7 yrs,single male,other,35,skilled employee
14,repaid,car (new),3973,unemployed,single male,unknown/none,22,skilled employee
12,repaid,car (new),888,> 7 yrs,single male,other,41,unskilled resident
48,repaid,radio/tv,10222,4 - 7 yrs,single male,other,37,skilled employee
30,fully repaid,business,4221,1 - 4 yrs,female,other,28,skilled employee
18,critical,furniture,6361,> 7 yrs,single male,unknown/none,41,skilled employee
12,repaid,radio/tv,1297,1 - 4 yrs,married male,real estate,23,skilled employee
12,repaid,car (new),900,1 - 4 yrs,married male,other,23,skilled employee
21,repaid,furniture,2241,> 7 yrs,single male,real estate,50,skilled employee
6,delayed,furniture,1050,unemployed,single male,building society savings,35,mangement self-employed
6,critical,education,1047,1 - 4 yrs,female,building society savings,50,unskilled resident
24,critical,others,6314,unemployed,single male,unknown/none,27,mangement self-employed
30,fully repaid this bank,furniture,3496,1 - 4 yrs,single male,other,34,skilled employee
48,fully repaid this bank,business,3609,1 - 4 yrs,female,real estate,27,skilled employee
